instance_id,displayed_text,label,label_id
933,"…für alle die es vielleicht noch nicht gehört haben - wenn die Hamasterroristen die israelischen Geiseln freilassen und sich ergeben ist der Krieg sofort zu Ende - bitte weitersagen …
Also alles liegt allein bei den Hamasterroristen … noch Fragen dazu …?",negative,0
1014,"Was wollen die Aktivisten, sie demonstrieren gegen ihre eigenen Interessen im Widerspruch!
Läuft wohl aus dem Ruder , euer Öko-Wahn!?!",negative,0
935,"Israel muss sich nach der Eliminierung der Hamas die Kontrolle über das Gebiet des Gazastreifen erhalten! Es ist sicher zu stellen, das von dieser Terrororganisation keine Gefahr mehr ausgeht!",negative,0
1272,"Mädel, geh zur Schule, geh lernen, besorg dir nen job und gib dann dein ganzes Geld aus zur verwirklichung deiner aberwitzigen Träume... Schulstreiks bringen nichts, ausser das man dich belächelt...",negative,0
411,"Ich bin geimpft und habe gewaltige #Impfschaeden. Durch dieses Teufelszeug habe ich jetzt 2,5 Jahre der Pandemie überlebt und muss mir seitdem den Hirnschiss von #Querdeppen anhören. #WachtAufLeute",negative,0
225,"Ihr könnt es drehen und wenden wie ihr wollt, wir wissen was wirklich abgeht. Wir wissen auch sehr wohl, dass die deutschen Medien dem deutschen Volk eine bestimmte Meinung indoktrinieren will. Hauptsache es wird nur seitens der Palästinenser alles hinterfragt, aber nichts seitens Israels. Wer auf sowas reinfällt, ist der Manipulation erfolgreich ausgesetzt worden. #FreePalestine",negative,0
1312,"Selenskyj kann ja unmöglich so wenig wissen haben und wirklich denken, es gab nie Provokationen auf allen Seiten.
Warum fragt man Selenskyj nie nach den Verhandlungsergebnissen, die im April 2022 schon aufgesetzt waren?
Ist es seiner Meinung nach aus heutiger Sicht richtig gewesen, auf Profiteure des Krieges aus dem Westen gehört zu haben?",neutral,1
1406,Der größte Feind sind Parteien die eine demokratisch gewählte Patrtei verbieten wollen #Demokratie,neutral,1
361,Hauptsache Durstlöscher schmeckt wie ein Matheheft weil wir alle gezwungen werden aus Papierstrohhalmen zu trinken während das Teil hier existiert,negative,0
227,Wie es den mehreren tausend Palästinensern wohl geht ? Wo bleibt der mediale Aufschrei? Es werden gezielt Zivilisten angegriffen und ein Bauunternehmen bietet strandhäuser im Gazastreifen an?!,negative,0
850,"Sowohl die Israelis, als auch die Ukrainer, haben Narrenfreiheit. Niemand interessiert es, wieviele sie töten.",negative,0
65,Sagten sie und verbreiten Hass.,negative,0
817,Alle die mit Russland reden wollen: mit Russland kann man nicht reden! Es gibt kein akzeptables russisches Friedensangebot,negative,0
516,"Da Corona erwiesener Maßen das Gehirn schrumpfen lässt, darf man der Antwort auf diese Frage nicht all zuviel Gewicht beimessen.",negative,0
1153,"In ukrainischen Schützengräben ist noch Platz für alle..
🇺🇦🤡🇩🇪🤣🤣🤣🤣🏆
Im nächsten Krieg braucht es keine Blechsärge , Urnen reichen , Putin hat gerade im TV vor dem nächsten Atomkrieg gewarnt.",negative,0
1067,"Putin hat so recht, Keine Waffen für die Ukraine",positive,2
358,Es gibt keine Klimakrise nur Profiteure von Klimapolitik. Sie sind einer davon.,negative,0
889,"Es wird groß Flächig gegen die AfD vor gegangen und sofort wird es von der Lügenpresse ausgeschlachtet......😡😡😡
Aber was Sie selber so mauscheln wird nie Öffentlich gemacht 🤬🤬🤬🤬
Deshalb für unsere Demokratie nur AfD 💙💙💙🇩🇪🇩🇪🇩🇪🇩🇪💙💙💙",positive,2
217,Lauterbach plant schon die nächste Impfkampagne 😏,negative,0
970,"Heute sollte nach langen Verhandlungen das wichtigste Naturgesetz der EU verabschiedet werden. Wäre es nicht um die Christdemokraten, die lieber blockieren. Vermutlich aus Angst, am Ende für Umweltaktivisten gehalten zu werden. Es ist alles so peinlich. #RestoreNature",negative,0
151,Donezker Volksrepublik - Beschuss eines belebten Marktes in der Regionalhauptstadt 25 Zivilisten getötet durch die Ukraine - dies meldet Ihr aber nicht - Im Krieg gibt es keine Wahrheit vom ÖRR habe ich auch keine erwartet. Schämt Euch.,negative,0
837,"Hatte mir heute mittag Terra X angesehen. Da ging es um die ganzen Zeiten. Und siehe da, es gab vor Millionen von Jahren den Klimawandel schon. Von kalt auf heiß usw. Sollten sich mal einige anschauen, könnte etwas bilden.",positive,2
135,Ab wann fällt so etwas unter den Straftatbestand der Volksverhetzung?,negative,0
1081,"In Gaza wurden 104 notleidende Zivilisten in der Hoffnung, humanitäre Hilfe zu erhalten, von der israelischen Armee getötet. 706 Menschen wurden zudem verletzt. 

Und 
@ZDFheute
? Berichtet auch 14 Stunden später kein Wort. Nicht auf der Webseite, nicht auf Social Media. Pervers.",negative,0
412,"Die #Hamas überfällt #Israel und verschleppen Zivilisten in den #Gaza-Streifen. Und in #Berlin #Kreuzberg und #Neukölln feiern Migranten mit #Palestina-Fahnen. Wo ist das das ""#NieWieder"" und die ""#Staatsräson""?",negative,0
1147,"Israel ist ein dreckland , dass nur frauen und kinder tötet . Schämt euch wie kann man sich freuen über diese Völkermord",negative,0
900,"Ich vermute, für viele der Demonstranten gehören diese Demos zum „Wellness Programm“ für das eigene wohlige Gefühl, stets auf der „richtigen Seite“ zu stehen. Egal, was draußen im Land passiert.",negative,0
1144,Der West... hat versagt. Schämt euch. Israel schäm dich...hast deinen Lehrer überholt..,negative,0
1091,"Um zu verstehen warum der Krieg mit #Russland unabwendbar ist, muss man eigentlich nur erkennen, dass das US-System bankrott ist! Die anderen Gründe spielen eine untergeordnete Rolle. 

Die #USA konnte ihre „Staatsinsolvenzen“ in den letzten Jahrzehnten nur verhindern, indem sie immer wieder Kriege provoziert hat, und ihren Dollar dadurch retten konnte. 

Dieses Mal wird Europa geopfert um die Multipolare Welt, und den daraus resultierenden Untergang, zu verhindern. Kleinere Konflikte reichen da nicht mehr aus.

#Kriegstreiber",negative,0
156,"Soll Deutschland wirklich das letzte europäische Land, dass irgendwelche Konsequenzen zieht?
Nur wir blamieren uns noch zusammen mit den USA und UK.",negative,0
618,"Haltung. Meinung. Opposition ist ein Todesurteil in Systemen wie Putins Russland.
Er war eine beeindruckende Persönlichkeit, ein Mensch, der seine Haltung aus Überzeugung für eine bessere Zukunft über das eigene Leben stellte. Das sollte uns Ansporn sein, Putins System nie siegen zu lassen, Oppositionen in aller Herren Länder zu unterstützen, die für Freiheit und Demokratie kämpfen, und vor Ort bei uns Demokratie gegen Putins Freunde wie der AfD zu verteidigen.
Ruhe in Frieden.
Deine Ideale leben weiter",positive,2
705,Wieso warten die westlichen Länder mit der Unterstützung ? Soll alles umsonst gewesen sein ? Schickt denen mehr Waffen und Munition jetzt !!!,negative,0
776,"In China ist nen Sack Reis umgefallen,dit ist definitiv interessanter als ne kleinst Partei beim Mauern zu zuschauen.
Die AFD hat wahrscheinlich nicht mal Intresse dran mit dieser Partei zusammen zu arbeiten",negative,0
641,"Die unterwürfige #AfD kuschelt wie eine #Hure mit dem faschistischen #Russland. Eine Partei, die Demokratie und Freiheit verrät, um autoritären Regimen zu schmeicheln. Ihre Loyalität gilt nicht Deutschland, sondern dem faschistischen Unterdrückungssystem.
#LautgegenRechts",negative,0
1108,Das ist nur ein Verschleierung um die Appelle Krieg zu beenden zu entkräften und IS.rael darf die Genozide weiter treiben. Mir fehlt die Wörter,negative,0
1346,"Putin versteht nur eine Sprache, die der Gewalt und erbarmungslosen Härte.",negative,0
266,"In ganz Deutschland haben Städte und Gemeinden für sich den Klimanotstand ausgerufen. Wozu sollten Klima Flüchtlinge in ein ""Klimanotstandland"" einwandern. Merkt ihr selbst oder?",negative,0
1173,"Yep, und dann sollte auch Schluß sein. Dann gibt es den Rest des Jahres eben keinen Fisch mehr. Wenn man das Weltweit ein einziges Jahr lang durchziehen täte könnten sich die Meere etwas erholen. Ein einziges Jahr...",negative,0
1236,Wir hatten eine Pandemie? Nur weil paar Leute verstärkt schnupfen und Husten hatten?,negative,0
181,Was ist denn das für eine Erpressung!? Humanitäre Güter müssen IMMER die Menschen erreichen können! Nicht nur nach Bedingungen!,negative,0
418,"Sie brauchen mir, die Ungeimpfte die immer gegen diese Impfung war, nicht danken. Ich bin eingesprungen während die 4fach Geimpften mit Corona krank waren. Ihre Impfung ist mist und daher #LauterbachRuecktritt",negative,0
1197,Und vor den Augen der ganzen Welt !!! Oh Menschheit wie tief bist du gesunken !!! 😥🙏,negative,0
1073,"Die Klima jünger sind so Lost , die Welt steht 1mm vorm Atomkrieg und die Damen und Herren machen sich Sorgen um CO2.

""Die spinnen die Römer""",negative,0
174,Mehr Waffen. Mehr Sanktionen. Russland darf für einen Angriffskrieg nicht belohnt werden!,negative,0
953,Es ist schon wirklich witzig zu sehen wie Cov Leugner immernoch frei drehn da merkt man echt das Bildung nicht alles ist . Ich Frage mich halt echt wenn man tausende Euro einem Michael Ballweg in die Futter Luke drückt und der Typ dann verschwindet was das mit einem macht 😂,negative,0
496,Man sollte die ganze Partei verbieten!!!!,negative,0
270,"Ukraine ist Schuld, und alle wissen das.",negative,0
806,"Der viele Regen ist gerade gut für unser Grundwasser .... man soll es auch mal positiv sehen ....bei jedem Wetter ist der Klimawandel schuldig ... Klimawandel gab es schon immer und die Wissenschaft kann nicht beweisen sondern nur nach Zahlen vermuten.... niemand weiß wie schnell es in der Vergangenheit , also vor 3000 Jahren oder so",positive,2
770,"Weil Israel sagt, 12 Mitarbeiter des Hilfswerks der UN für Palästina-Flüchtlinge im Nahen Osten (UNRWA) wären an dem Angriff am 7. Oktober beteiligt gewesen, hat neben den USA, UK und Italien nun auch Deutschland entschieden, UNRWA keine neuen Mittel zur Verfügung zu stellen.
Über die Hälfte der Vertriebenen in Gaza fand Zuflucht in UN-Gebäuden. UNRWA beschäftigt über 30.000 Menschen. Weil 12 davon, also 0,04 %, etwas verbrochen haben sollen, müssen Palästinenser jetzt noch mehr leiden?
Israel hat 136 UN-Mitarbeiter in Gaza getötet. Wie unsere Regierung reagierte? Mit der Lieferung von Waffen. Wir schicken Tätern Waffen und stoppen Hilfe für die Opfer. Wir stehen wegen Annalena Baerbock auf der falschen Seite der Geschichte.",negative,0
787,keine waffen und kein geld für die ukraine dann ist der spuk schnell vorbei..,negative,0
1104,"Heuchlerei angesichts der Unterstützung Israels..Alles nur noch purer Wahnsinn überall! Aber wir alle haben nur diese eine Leben, ohne Frieden haben wir alle nichts!",negative,0
967,Herr #Macron schließt Einsatz von westlichen Bodentruppen in der Ukraine nicht aus? Meine Güte.,negative,0
1376,"Mir hat eine Kollegin erzählt, dass sie vor Corona ständig alle Infektionen mitgenommen habe und das echt nervte. Seit sie Maske trägt in Innenräumen und bei der Arbeit wenn nicht getestet wäre sei sie nicht mehr krank. Wäre für sie sehr überzeugend. Kann mich nur anschließen.",positive,2
1288,"Jetzt dürfen alle erwachsenen Unterstützer, insbesondere die Eltern, begeistert in die Hände klatschen: Hurra! Die CO2 - Steuer kommt. 😊",positive,2
572,"Jetzt haben wir es noch einmal von #Putin persönlich gehört: #Russland ist nach wie vor bereit, #Gas durch die intakte #Nordstream Pipeline zu liefern. Nur #Deutschland macht selbst die Leitung nicht auf, weil es teures amerikanisches #LNG #Fracking Gas kaufen MUSS. Der Terrorsanschlag auf Nordstream haben laut Putin die Amerikaner zu verantworten. Die #CIA habe kein Alibi, meint er scherzhaft-ernsthaft. #TuckerCarlson",neutral,1
1435,"5 Monate nach dem 7.10. leugnen manche weiterhin Vergewaltigungen und sexualisierte Folter der Hamas-Terroristen gegen Israelis. Lasst uns nicht abstumpfen&Leid gegen Leid aufrechnen. Es ist möglich, das palästinensische Leid zu sehen&gleichzeitig zu sagen: I #believeIsraeliWomen",positive,2
1300,Rechts ist bürgerlich-konservativ. Also nur links erlaubt in diesem Land?,neutral,1
1012,"Der Bedarf an Wasser und Trinkwasser ist imens.
Aber was ist mit Abwasser? Wie ist das belastet? Werden dort die Grenzwerte eingehalten?
Was ist mit Phosphor, Stickstoffgehalt, Schwermetallen und CSB im Abwasser?
Da sollte die Behörde mal nicht nur Stichprobenartig prüfen!
Ich glaube zu wissen, dass dort permanente Überschreitungen sind. Da wäre ein Zwangsläufiger Stop mit Abwassereinleitung möglich. Mal schauen was dann passiert. 🫣
Hauptsache das Geld fließt. 😮‍💨😵‍💫",negative,0
529,Ihr habt gar nichts aufgedeckt. Ihr habt eine Geschichte erzählt die zerbröckelt. Wenn man sich dagegen wert ist wieder alles Hass und Hetze.,negative,0
253,Das ist doch einfach alles nur noch ein schlechter Scherz!!!,negative,0
801,"Australien trägt ganz erheblich zum Klimaschutz bei, indem man die Migration kontrolliert
Es macht keinen Sinn, unkontrolliert Menschen aus Entwicklungs- in Industrieländer ziehen zu lassen, wo ihr CO2 Abdruck viel höher ist
Seenotretter sind für den Klimawandel mitverantwortlich",positive,2
1107,"Mich langweilt dieses Schangri La der Linken und Rechten: ""Palästina"". Ein einziges Ärgernis. Im Grunde ist das nur ein feiges verstecken hinter der wirklichen Parolo: Wir hassen Israel. Dabei ist das der einzige funktionierende orientalische Staat weit und breit. Für jedes Problem in der Gegend - Gesundheit, Wohlstand ect. gibt es in Jerusalem oder Tel Aviv eine Telefonnummer. Ruf einfach mal an. Mehr Hirn, weniger Hamaz. Übrigens: Seit München 1972 ist der Zug abgefahren. Terror bei Freunden geht gar nicht. Ich bin nachtragend.",negative,0
992,"An alle “wER bEzAhlT dEnN DiE SchUlDen?!?”. Ja Lack, was glaubt ihr was dieses Land an Schulden haben wird, durch die Folgen vom Klimawandel?",negative,0
1416,"Was bringt die Schuldfrage, wenn es keine Konsequenzen gibt. Sie töten einfach weiter. Keiner stoppt die israelische Regierung.
",negative,0
38,"Wer Profitiert denn von Heizung, Ladesäulen usw? Richtig, Menschen die eh schon viel haben. Wenn die ampel eins nicht ist, dann sozial.",negative,0
559,"Der Tod als einziger Ausweg - was für eine Dystopie!
Das Erbe jahrzehntelanger Verharmlosung und Psychosomatisierung dieser schweren Multisystemerkrankung.
Aktuell: Corona-Aufarbeitung, die #LongCovid resp. #MECFS ausklammert.
Wo ist der Aufschrei?
",negative,0
1283,"Fragt sich wer instrumentalisiert....... Ich finde es GROSSARTIG, das diese Generation sich etwas wagt und was bewegen will! Go Greta, go Youngstars go!!!!!!",negative,0
1048,Solidarität mit allen Arbeiter*innen und Umweltaktivist*innen ✊🏼,positive,2
694,"Welche Demokratie? Es gibt sie nicht mehr. Demokratie bedeutet Meinungsfreiheit. Hat man in der jetzigen Zeit eine andere Meinung als die der Regierung und deren Mitläufer, gilt man als rechts. Egal ob es so ist oder nicht.",negative,0
233,"Bei den Kommentaren mangelt es schon wieder an Empathie. Kann man Unrecht nicht einfach als Unrecht benennen, egal von welcher Seite es kommt. Das geht bei einigen aber offenbar nicht, da der Hass auf Israel so stark ist das offenbar alles gerechtfertigt ist.",negative,0
1045,Volle Solidarität mit den Streikenden!✊ Gute Arbeitsbedingungen und Klimaschutz gehören einfach zusammen.,positive,2
62,putin muss weg,negative,0
1462,Die AfD hat das deutlich normalere Frauenbild. Frauen haben zum Beispiel niemals einen Penis.,positive,2
997,"Ruzzland bereitet eine neue Front vor, das war zu erwarten.",neutral,1
617,Russland betreibt moderne KZs und wir verschließen tagtäglich unsere Augen davor…,negative,0
31,Es wird immer lächerlicher…..,negative,0
549,"Ich wünsche mir so sehr für alle Betroffenen, dass man jetzt auf dem richtigen Weg ist. Stell es mir echt hart vor, wenn man von den meisten nicht ernst genommen wird und die Beschwerden bagatellisiert werden.",negative,0
1345,"Die Ukrainer brauchen Munition, keine Verhandlung",neutral,1
229,"Ein tolles Projekt! Wäre toll, wenn überall mehr Bäume gepflanzt werden würden.🌳",positive,2
710,"""Führende Klimawissenschaftlerin"" 😂 der war gut. So betiteln sie aber nur die alternativen News/Satire-Seiten. 

Witzig wie alle Faktenverdreher wieder und wieder den gleichen Fake-BS posten.

Wenn man keinen Fakten und wissenschaftlichen Artikeln glaubt, dann erfindet man einfach seine eigene Realität. Dadurch wird das gesagte/geschriebene/gezeigte aber nicht direkt wahr 😂

Die Welt geht zugrunde.",negative,0
680,"Ist man automatisch, wenn man gegen Windparks ist, ein Klimawandelleugner? 🤔
Oder ist das die gleiche Geschichte wie während Corona? Ich möchte keine Impfung und bin dann auch sofort Coronaleugner?",negative,0
1023,"170 Ländern der Welt wurde Geld versprochen um irgendwelche dubiosen Klimaziele zu erreichen.
Wenn Sie mir 1 Milliarde schenken, dann unterschreibe ich es auch..

Its a religion",negative,0
1092,"Russland führt Krieg auf allen Ebenen. Dazu gehört auch ein Cyberkrieg gegen den Westen, mit Cyber-Spionage und Desinformationskampagnen.
Russland will westliche Demokratien destabilisieren. Das aggressive Agieren Russlands ist eine sicherheitspolitische Gefahr für unser Land.",negative,0
1050,Klima schützen ist nicht schwer - öffentlicher Nahverkehr! 🌎🍀,positive,2
748,"Unglaublich! Es ist ja nicht so, dass es nicht schon vorher schlimm war. Aber seit Putin Tucker Carlson dieses Interview gegeben hat, haben westliche Medien und Politiker nur mehr Schnappatmung. Am liebsten würden die Redakteure des Staatsfernsehen Putin persönlich den Krieg erklären.🙈🙈🙈",negative,0
727,Wenn nur eine Stimme und zwar die linke als richtig gilt kann man sich die Demokratie auch schenken.,negative,0
508,"„Ich werde mit dieser AfD, der angeblichen Alternative, nicht koalieren und nicht mit ihr zusammenarbeiten.
Das ist ein Versprechen das gebe ich Ihnen hier heute ab. Alles andere wäre unredlich!"" #hartaberfair",neutral,1
1044,"Eine Entmenschlichung nach der anderen,wieviel sollen die Palästinenser noch ertragen.WAFFENSTILLSTAND SOFORT!!!!",negative,0
1394,"Hachja, als Corona noch ein Thema war. Die Zeit vermisse ich ganz und gar nicht, ein Glück ist der Spuk so ziemlich vorbei",positive,2
624,"Die rechtsextreme #AfD ist der verlängerte Arm des #Kreml und die #Putin-Partei.

Sie will die Niederlage und Annektierung eines demokratischen Landes nach einem völkerrechtswidrigen Überfalls Russlands.",negative,0
1218,"Eine Terrororganisation entführt Kinder, aber ein demokratisches Land ermordet hunderttausend Zivilisten. Das ist ja logisch.",negative,0
1084,"Das Leid im Gaza Streifen wäre seit vielen Wochen beendet,  wenn Hamas die Geiseln freilassen würden und sich diese  Terroristen ergeben würden. Das sind leider die ursächlichen Fakten.",negative,0
1186,"was darf man im Krieg, alles zerstören? Gibt es nicht Gesetze was man nicht darf. Warum darf man Kinder töten, wenn Politiker sich streiten. Der Krieg muss erneuert werden in der Zeitenwende, keine Bomben mehr, keine Panzer. ....",negative,0
1351,"Wenn Sozialisten die Gefahr ned erkennen wollen, das dieses Gen Gift ned hilft, sondern die Menschen still schweigend ham dran soll, weil Kriminelle Globalisten seit der Planung dahinter stecken.",negative,0
1420,"Natürlich geht Israel zu weit! Wer den Völkermord jetzt nicht sieht, will ihn nicht sehen.",negative,0
241,Es tut mir sehr leid für die Menschen in Gaza. Mein tiefes Mitgefühl. Aber Israel hat ein Recht sich zu verteidigen. Über 1000 Menschen und über 200 Geiseln der Hamas.,positive,2
1222,"nicht corona hat die GEsellscahft gespallten sondern korrupte, gierige REgierungen, hätte man das ganze nicht so derart medial künstlich aufgeblasen, wäre es wahrscheinlich nur einfach ne stärkere Grippewelle gewesen, einen winter lang, so wie es war haben sich viele politiker die taschen voll gestoppft, damit das sie die bevölkerung unterdrücken und ausbluten lassen",negative,0
36,"Wie kann das Klimageld ein sozialer Ausgleich sein wenn allein schon der Zeitpunkt der eventuellen Einführung Jahre nach dem ist, was es abfedern soll? Sollen die Leuten so lange Kuchen essen?",negative,0
1281,Die Zukunft klaut niemand. Wenn die nicht endlich wieder ihrer Schulpflicht nachkommen versaun die sich die Zukunft selber. 😉,negative,0
1439,Israel-Fans wann immer sie Bilder von Nahrungsmitteln aus Gaza sehen: AHA!! WO IST JETZT DIE HUNGERSNOT???!!! ALLES HAMAS PROPAGANDA!!!!,negative,0
1102,"Es gehört ja mittlerweile zum guten Ton die #AfD in jeglicher Form mit 1933 gleichzusetzen, aber hat man schonmal darüber nachgedacht das die AfD die einzige Partei ist, die für Deeskalation und Diplomatie steht, während alle anderen Parteien ausschließlich den Krieg und das Leid mit immer mehr Waffen anheizen wollen?",positive,2
609,Mir gehen die ganzen Putin-Versteher auf den Sack! Es gibt keine größere Bedrohung für die Freiheit als Putin.,negative,0
732,"So wichtig ein klares Zeichen zu setzen . Richtig und wichtig
#wirsindmehr",positive,2
356,"Ja das stimmt, von Umweltschutz redet keiner mehr oder vom Plastik in den Meeren. Spielt ja keine Rolle wenn das Klima ""gerettet"" werden muss",negative,0
1030,"Putin ist alles, nur kein Diktator. Ein bisschen mehr Putin würde uns auch nicht schaden. Er denkt wenigstens an sein Volk. Unsere Regierung macht sich nur Sorgen um andere Völker",positive,2
258,"Erst wenn der letzte Baum gerodet, der letzte Fluss vergiftet, der letzte Fisch gefangen ist, werdet ihr merken, dass man Geld nicht essen kann.",negative,0
849,"Die Hardcore-Impffans, die mir so begegnet sind, sind mit rationalen Argumenten nicht mehr erreichbar. Die leben völlig in ihrer eigenen Welt, felsenfest davon überzeugt, nur durch die mehrfache Verabreichung des heiligen Elixiers überhaupt noch am Leben zu sein.",negative,0
1113,Gleichzeitig schicken sie an Israel Waffen und Geld! Was für eine Heuchelei! 🤮🤮🤮,negative,0
1007,"Erschreckend, wenn Menschen geschützt werden müssen, die für unsere Demokratie und gegen Rechtsextremismus auf die Straße gehen. Umso mutiger ist es, dass es Menschen gibt, die dort ""Gesicht zeigen"" .
Danke euch allen. 🌻",positive,2
1364,"Der Mensch hält konstant hohen Stress neurologisch nicht aus,dann setzen zum Selbstschutz
selbtberuhigende Verharmlosung ein.
Oder Dissoziation,also eine Art Abspaltung, in der Psychologie lang bekannt.
Das Problem Corona ist einfach zu groß weil es ALLE Lebensbereiche
betrifft.",negative,0
1054,Schämt euch. Wir werden nie vergessen,negative,0
349,"Dies ist ein grober Versuch, das Urteil des Internationalen Gerichtshofs zu vertuschen, der den Vorwurf, Israel begehe Völkermord, für plausibel hielt.

Das gleiche Urteil ordnete Israel an, Zivilisten zu schützen, wozu das UNRWA notwendig ist",negative,0
345,Ihr Motto ist vermutlich Wein für mich und Wasser für den Pöbel,negative,0
1077,"Es ist kein Vorfall, es ist ein Verbrechen, mehr als 100 Menschen wurden getötet, mindestens 800 verletzt. Euer Wording ist absolut verharmlosen und relativierend. Richtig müsste die Überschrift lauten: Israelische Soldaten töten mehr als 100 Menschen und verletzen Hunderte.",negative,0
1034,"Das zentralamerikanische Nicaragua hat Deutschland nun offiziell vor dem Internationalen Gerichtshof (IGH) angeklagt.
Deutschlands politische, militärische und finanzielle Unterstützung Israels würde einen Genozid erleichtern, und Deutschland hätte nicht, wie das IGH vorgeschrieben hat, „alles getan, um einen Genozid zu verhindern"". Nicaragua fordert die Ermittlungen gegen die deutsche Regierung auch wegen der Streichung von Hilfe für das UN-Hilfswerk in Gaza.
Ihr lest richtig. Es ist das Jahr 2024, nur 79 Jahre nach dem Fall der Nazis, und unsere Regierung wird sich vor Gericht wegen mutmaßlicher Unterstützung von Völkermord rechtfertigen müssen. Ist allen klar, wie ernst das ist?",neutral,1
37,Besteuert vernünftig die Superreichen dann habt ihr auch mehr Geld um die schwächeren zu unterstützen.,positive,2
143,Die Ukraine benötigt weiterhin Unterstützung. Leider wird Russland nicht aufhören und von selbst nicht zurückweichen. Es versteht nur die Sprache der Stärke.,negative,0
428,"#EU verschenkt 50 Milliarden Euro überwiegend deutsches Steuergeld an das korrupte Regime in der #Ukraine.  Darum hat #Deutschland kein Geld für Schulen, Kitas und Verkehrsinfrastruktur.",negative,0
335,und so ein Land soll in die EU und NATO?,negative,0
1303,"Das heutige Russland ist per Definition der Feind von jedem, der eine freie, gerechte, demokratische Gesellschaftlich befürwortet",negative,0
386,"Mittlerweile weiß man, dass mindestens 200.000 Mio Menschen durch die #Corona Maßnahmen dem Hunger anheim gefallen sind. Länder in denen die Menschen von Tagelöhnerei leben sind verhungern. Und ihr rechtfertigt diesen Unsinn immer noch. Was stimmt nicht mit euch?",negative,0
339,Ich will keinen deutschen Krieg gg Russland,negative,0
353,"Korrektur: es heißt Klimaterroristen.
Bitte, gern geschehen.",negative,0
1187,"In Deutschland schreien Ukrainer, gebe uns Taurus jetzt. Dieses Volk sollte man alle samt zurückschicken. Deutschland hätte sich nie einmischen dürfen. Der Russe wollte bis Dato nie etwas von Deutschland. Aber jetzt Applaus für soviel d*mmheit.",negative,0
1475,"Habe ich das richtig verstanden, dass Putin unter Androhung eines Atomkriegs auch die Weltherrschaft fordern kann und jeder der widerspricht oder sich wehrt, ist dann ein #Kriegstreiber ?",neutral,1
1209,Israel hat leider andere Ziele oder besser gesagt die Rechtsradikale Verbrecher Regierung Netanjahus.✌️,negative,0
1011,"Ach so, ""Aktivisten"" also. Leute, die vom Bürgergeld leben und anderen den Arbeitsplatz streitig machen wollen.",negative,0
1333,"Ich liebe diese Doppelmoral, Russland greift zivile Infrastruktur an und behauptet es verstecken sich dort Soldaten und Waffenlager. Ist ein Kriegsverbrechen.
Isreal behauptet in Ziviler Infrastruktur verstecken sich Terroristen. Kein Problem.
Russland greift die Stromversorgung an, Kriegsverbrechen. Isreal zerstört Wasserleitungen, Strom, verhindert Hilfslieferungen, Nahrung, Medizin. Das ist Selbstverteidigung.",negative,0
